	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Cortinarius_talus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_talus
Cortinarius_murellensis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_murellensis
Cortinarius_acutovelatus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_acutovelatus
Cortinarius_porphyropus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_porphyropus
Cortinarius_argutus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_argutus
Cortinarius_sanguineus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_sanguineus
Cortinarius_perpallens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_perpallens
Cortinarius_infractus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_infractus
Cortinarius_clandestinus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_clandestinus
Cortinarius_rubellus	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_rubellus
